id,file_name,Best_ths,Best PSNR,identity
732,images/t033/zjeLdAyepv.JPG,0.11,30.027008056640625,t033
1136,images/t056/TtLqCOOUhn.JPG,0.11,29.5118350982666,t056
2392,images/t141/nFyCadXWCH.JPG,0.12,32.40858840942383,t141
5092,images/t263/EHasQiDlGR.JPG,0.11,28.49188232421875,t263
4237,images/t236/GAYJBHXtYe.JPG,0.11,30.16391944885254,t236
1588,images/t079/WNIumUCEXo.JPG,0.12,31.41790199279785,t079
2111,images/t115/BHtsNHRRlv.JPG,0.12,30.72194099426269,t115
116,images/t006/NVvCgDiDnf.jpg,0.12,32.26985549926758,t006
262,images/t014/TlYSNOKjCg.jpg,0.11,29.32323837280273,t014
5427,images/t289/qiKgvhXqPC.JPG,0.12,30.66842269897461,t289
6684,images/t371/kdebLsPRqm.jpeg,0.12,31.990909576416016,t371
1471,images/t073/ogRSDSUBAl.jpeg,0.12,32.27789306640625,t073
257,images/t014/NZdNiMlNvp.jpg,0.12,31.058958053588867,t014
7187,images/t407/bDsskxpvKL.jpg,0.11,28.920289993286133,t407
4154,images/t235/INvFQicyFw.JPG,0.11,28.861183166503903,t235
7585,images/t441/twkHlyAaYh.JPG,0.11,28.392990112304688,t441
4970,images/t257/nloJNDWHet.JPG,0.12,32.5068359375,t257
6059,images/t323/TrNBmAatYL.JPG,0.11,28.85429000854492,t323
646,images/t032/LTDoDQNflu.JPG,0.11,28.706035614013672,t032
5198,images/t269/sAmqBlAyGF.JPG,0.12,31.86682510375977,t269
8229,images/t459/EPHKHnhAnF.jpeg,0.11,30.53581428527832,t459
4397,images/t240/FhEaoLsIQd.JPG,0.11,28.243682861328125,t240
5067,images/t261/bwASOtyhKj.JPG,0.12,30.571338653564453,t261
163,images/t007/tGosBfkLnc.JPG,0.11,30.435272216796875,t007
1756,images/t093/vlRfzRiUcN.jpeg,0.15,39.858516693115234,t093
8375,images/t492/KLemVnMybo.jpeg,0.13,33.57037734985352,t492
1469,images/t073/iLEGMMQBau.jpeg,0.12,31.69202041625977,t073
8270,images/t468/BtAGMOznuw.jpeg,0.12,32.10102462768555,t468
610,images/t028/mNxlvhlCvo.JPG,0.11,29.418079376220703,t028
6111,images/t323/mXOQShBXhN.JPG,0.0999999999999999,28.22538185119629,t323
658,images/t033/AuDoWobtfE.JPG,0.12,31.10057640075684,t033
8556,images/t567/hMrwEDnFrp.jpeg,0.11,29.3277587890625,t567
8691,images/t470/ILrKfRXmbW.jpeg,0.11,29.466407775878903,t470
5900,images/t319/wsvpwPRpOw.JPG,0.13,34.05992889404297,t319
6735,images/t376/KDcRKjKZrn.JPG,0.12,31.15435028076172,t376
601,images/t028/hgywyXBgXT.JPG,0.13,33.72153091430664,t028
809,images/t037/TsfEkDrDmm.JPG,0.12,31.00509262084961,t037
7842,images/t078/QzvYgvhOfG.jpeg,0.12,31.438068389892575,t078
7581,images/t441/plreWezPDd.JPG,0.12,30.788143157958984,t441
2586,images/t159/PQKNGdlxTF.JPG,0.11,28.989295959472656,t159
2197,images/t125/VdKeqPKYci.jpeg,0.13,32.63872528076172,t125
5568,images/t296/yUBPhQjagC.jpg,0.12,30.71528625488281,t296
5949,images/t322/SUlvTiCoSI.JPG,0.11,29.76761245727539,t322
8010,images/t296/DsxZViaucj.jpeg,0.12,31.09852600097656,t296
6139,images/t323/wPJEEwqHvy.JPG,0.13,34.52989196777344,t323
2520,images/t157/hEhsFlUhew.jpeg,0.11,29.86973571777344,t157
2588,images/t159/UKkVLTVAIZ.JPG,0.12,32.53596878051758,t159
776,images/t035/ayXqBTysMM.JPG,0.12,32.452423095703125,t035
4822,images/t250/hqxSKphMnY.jpg,0.12,31.02015495300293,t250
4390,images/t240/AabfOCfNfy.JPG,0.13,33.8697395324707,t240
6373,images/t341/EQptTRahxm.JPG,0.12,33.6878662109375,t341
8178,images/t441/hCDQCcbJpo.jpeg,0.11,30.508956909179688,t441
7880,images/t095/SWtQCbddkC.jpeg,0.13,34.35115051269531,t095
5994,images/t322/uYhYaNxsmV.jpeg,0.11,29.965551376342773,t322
8280,images/t468/jaRvbcNgtt.jpeg,0.12,32.555458068847656,t468
2903,images/t175/tLjhzwplEp.JPG,0.12,30.958118438720703,t175
2755,images/t167/sqlsOWSzHh.JPG,0.12,30.658166885375977,t167
4961,images/t257/fONSUbeHYD.JPG,0.11,29.444129943847656,t257
6759,images/t376/joEMLwQNdv.JPG,0.11,29.69277572631836,t376
1584,images/t079/HefFhTJHhv.JPG,0.12,33.23415756225586,t079
8152,images/t423/XbmzXyJgzF.jpeg,0.12,31.703311920166016,t423
2027,images/t110/DjALOUcOJS.JPG,0.11,30.53987693786621,t110
4739,images/t246/ZfRjJMRjVL.JPG,0.11,29.98603820800781,t246
209,images/t009/UJYfdjvmbk.JPG,0.11,29.56557846069336,t009
2656,images/t163/OFyCePArIe.JPG,0.12,32.11451721191406,t163
7788,images/t014/bwhEQsknJX.jpeg,0.13,33.805419921875,t014
3994,images/t231/OakVrqrMTQ.JPG,0.11,29.512481689453125,t231
8540,images/t566/oBxzEPWDdA.jpeg,0.11,29.33481979370117,t566
3905,images/t228/kfpmGnOIRl.JPG,0.12,32.09510803222656,t228
5449,images/t292/bMqhPIBBgj.JPG,0.12,30.96820068359375,t292
5218,images/t271/nGtrfWyISG.JPG,0.11,29.95297241210937,t271
6491,images/t352/EmaFCwSmSP.JPG,0.12,31.60883903503418,t352
6631,images/t362/lrhSWFOWEj.JPG,0.12,31.665966033935547,t362
424,images/t021/uajaUWzoLe.JPG,0.12,32.159915924072266,t021
5199,images/t269/scaUquDOSz.JPG,0.12,32.27581787109375,t269
666,images/t033/JavIrZBgAX.JPG,0.11,30.23490524291992,t033
1475,images/t073/rrsSLtRFif.jpeg,0.12,31.37792205810547,t073
4424,images/t240/wBnoXrbCox.JPG,0.12,32.247825622558594,t240
7289,images/t417/WzJqCtOmhP.JPG,0.12,32.29233169555664,t417
5099,images/t263/eLwUhcviNM.JPG,0.11,30.37786293029785,t263
6533,images/t353/ckLLXlJtMH.jpeg,0.12,30.97470092773437,t353
2651,images/t163/IUajMpsjmw.JPG,0.12,31.54127311706543,t163
2039,images/t110/MkCKNokxCT.JPG,0.13,34.662288665771484,t110
4378,images/t238/xBjiyCJlbx.jpg,0.0999999999999999,27.20256805419922,t238
4238,images/t236/IPqDtVZIJK.JPG,0.0999999999999999,27.300617218017575,t236
1182,images/t062/RPaiouSTDG.JPG,0.13,34.524505615234375,t062
4998,images/t259/AfPWRwXnax.JPG,0.11,28.4093017578125,t259
1513,images/t075/NsodhvozLI.JPG,0.12,32.021820068359375,t075
2894,images/t175/foAsTTYhEH.JPG,0.11,29.79979705810547,t175
1518,images/t075/eaKbuYiggQ.JPG,0.13,32.14150619506836,t075
8163,images/t427/FTwFJFTNnM.jpeg,0.12,32.14613342285156,t427
6455,images/t350/eeGRkwSYEd.JPG,0.11,30.484474182128903,t350
2452,images/t146/amZkyinVTE.JPG,0.12,31.08440399169922,t146
7232,images/t410/aVNthvCWJD.jpg,0.11,29.723934173583984,t410
1530,images/t075/xzKeFISUbR.JPG,0.12,30.23568725585937,t075
1733,images/t092/oRbVLKDrCI.jpg,0.11,29.344783782958984,t092
4072,images/t232/oAoiWSEnoN.jpg,0.11,29.093847274780277,t232
7136,images/t402/XCJfQhSFfJ.jpg,0.11,29.139625549316406,t402
1351,images/t067/mmWGLwhNhx.JPG,0.12,30.14956283569336,t067
818,images/t037/dbeQtkcsZR.JPG,0.12,30.94415664672852,t037
